trip_id,arrival_time,departure_time,stop_id,stop_sequence
11-full-outbound,06:00:00,06:00:00,9091001000009300,1
11-full-outbound,06:03:00,06:03:00,9091001000009310,2
11-full-outbound,06:06:00,06:06:00,9091001000009320,3
11-full-outbound,06:15:00,06:15:00,9091001000009001,4
11-full-outbound,06:18:00,06:18:00,9091001000009340,5
11-full-inbound,06:30:00,06:30:00,9091001000009340,1
11-full-inbound,06:33:00,06:33:00,9091001000009001,2
11-full-inbound,06:42:00,06:42:00,9091001000009320,3
11-full-inbound,06:45:00,06:45:00,9091001000009310,4
11-full-inbound,06:48:00,06:48:00,9091001000009300,5
11-shortturn-outbound,07:00:00,07:00:00,9091001000009300,1
11-shortturn-outbound,07:03:00,07:03:00,9091001000009310,2
11-shortturn-outbound,07:06:00,07:06:00,9091001000009320,3
11-shortturn-outbound,07:15:00,07:15:00,9091001000009001,4
